review_id,content,score,TU_count,app_id,app_name,RC_ver,clean_content,severity_weight,impact_weight,version_weight,final_weight
10_1,"Been using the app for almost 4 years now, and the way playlists, albums, and podcasts were organized on the home screen was awesome, with different sections for recommended albums, playlists, singles, and podcasts. Now when you open the home screen, it is just a long line of playlists and podcasts with no organization. It is significantly harder to navigate and makes me completely uninterested in the home screen. Too bad there isn't a way to go back.",2,21,com.spotify.music,Spotify,8.8.36.522,"been using the app for almost 4 years now, and the way playlists, albums, and podcasts were organized on the home screen was awesome, with different sections for recommended albums, playlists, singles, and podcasts. now when you open the home screen, it is just a long line of playlists and podcasts with no organization. it is significantly harder to navigate and makes me completely uninterested in the home screen. too bad there isn't a way to go back.",4,1.0033060453400504,1.0,4.013224181360202
10_2,"It's a nice music player, but the android version is worse than the iOS version and a lot less polished. For example, there is no swipe gesture to open the music, but on iOS, there is and it feels a lot more natural. And whenever you open a menu, they really don't look that good at all compared to the iOS version. Still a good music player though! Just possible bring the swipe gesture to Android, I really prefer it.",4,18,com.spotify.music,Spotify,8.8.40.470,"it's a nice music player, but the android version is worse than the ios version and a lot less polished. for example, there is no swipe gesture to open the music, but on ios, there is and it feels a lot more natural. and whenever you open a menu, they really don't look that good at all compared to the ios version. still a good music player though! just possible bring the swipe gesture to android, i really prefer it.",2,1.0028337531486147,0.8597785977859779,1.7244299961891307
10_3,Overall the app is great. The main issue which is a big one is that every time I get in the car or truck and turn it on Spotify decides to start playing music immediately and it is extremely frustrating. Anytime you turn on a connected device Spotify feels like it should start playing music. There needs to be an option to turn that off. For an app with so many features it feels they just skipped over the simplest of features.,2,8,com.spotify.music,Spotify,8.8.38.444,overall the app is great. the main issue which is a big one is that every time i get in the car or truck and turn it on spotify decides to start playing music immediately and it is extremely frustrating. anytime you turn on a connected device spotify feels like it should start playing music. there needs to be an option to turn that off. for an app with so many features it feels they just skipped over the simplest of features.,4,1.0012594458438286,0.08856088560885608,0.35468969299264774
10_4,"I love this app. I have a premium account. I get notified when my favorite musicians are coming on tour close by. App always recommends really good music that's similar to my interests. I can still tell, however, that some music is intentionally shoved down my throat, even when I continuously skip the songs. Also, the Smart Shuffle feature seems broken. It still works even after I've turned it off sometimes.",4,0,com.spotify.music,Spotify,8.8.36.522,"i love this app. i have a premium account. i get notified when my favorite musicians are coming on tour close by. app always recommends really good music that's similar to my interests. i can still tell, however, that some music is intentionally shoved down my throat, even when i continuously skip the songs. also, the smart shuffle feature seems broken. it still works even after i've turned it off sometimes.",2,1.0,1.0,2.0
10_5,"Cons: I want the ability to adjust the number of seconds I skip forward/backward. The widget should include forward/backward controls, but doesn't. Pros: I like that it saves what podcasts I'm subscribed to so that when I get a new phone, all my pods are there. I'm legally blind but generally find this app easy to navigate. It's nicely responsive to the large font size on my phone. I also like that the ads have a dismiss call to action vs a tiny X that I often can't see.",3,2,com.spotify.music,Spotify,8.8.38.444,"cons: i want the ability to adjust the number of seconds i skip forward/backward. the widget should include forward/backward controls, but doesn't. pros: i like that it saves what podcasts i'm subscribed to so that when i get a new phone, all my pods are there. i'm legally blind but generally find this app easy to navigate. it's nicely responsive to the large font size on my phone. i also like that the ads have a dismiss call to action vs a tiny x that i often can't see.",3,1.0003148614609572,0.08856088560885608,0.2657663100560476
10_6,Spotify is a good app whenever on long road trips or just wanting to listen to music or podcasts. Though it feels as if the songs repeat a lot and like you don't ever listen to some of the other songs you have on a playlist. It also is not the best with no internet. It will constantly pause or even not play. The good things are that you can turn off your phone when listening or go to different apps. As long as you don't close the app it works good with internet.,3,3,com.spotify.music,Spotify,8.8.36.522,spotify is a good app whenever on long road trips or just wanting to listen to music or podcasts. though it feels as if the songs repeat a lot and like you don't ever listen to some of the other songs you have on a playlist. it also is not the best with no internet. it will constantly pause or even not play. the good things are that you can turn off your phone when listening or go to different apps. as long as you don't close the app it works good with internet.,3,1.0004722921914357,1.0,3.0014168765743072
10_7,"I've been using Spotify for quite a while and have enjoyed it thus far, however i encountered an error regarding my playlists. the overall duration displayed for my playlists is much different on mobile than on desktop, while the desktop version displays an accurate time and the mobile version does not. i am unsure of what caused this error, and have tried everything to fix it, but to no avail. otherwise, this app is great to listen to music.",4,1,com.spotify.music,Spotify,8.8.36.522,"i've been using spotify for quite a while and have enjoyed it thus far, however i encountered an error regarding my playlists. the overall duration displayed for my playlists is much different on mobile than on desktop, while the desktop version displays an accurate time and the mobile version does not. i am unsure of what caused this error, and have tried everything to fix it, but to no avail. otherwise, this app is great to listen to music.",2,1.0001574307304786,1.0,2.000314861460957
10_8,"As a user of the free version, its not the best. You can do things like make playlists, skip songs (6 per hour), but you have to listen to ads every few songs. Also, there's a time where it'll say I will get 30 mins of ad free listening after an ad but in reality I listen to 2 songs and get 3 ads. And you can only listen to mixed songs on the playlist, not in order. It also automatically plays songs related to the songs on the playlist which is quite nice. But I would say pay for it.",3,0,com.spotify.music,Spotify,8.8.36.522,"as a user of the free version, its not the best. you can do things like make playlists, skip songs (6 per hour), but you have to listen to ads every few songs. also, there's a time where it'll say i will get 30 mins of ad free listening after an ad but in reality i listen to 2 songs and get 3 ads. and you can only listen to mixed songs on the playlist, not in order. it also automatically plays songs related to the songs on the playlist which is quite nice. but i would say pay for it.",3,1.0,1.0,3.0
10_9,"This is the worst app I have ever used. There is no way to stop songs once they start, there is no way to navigate to different albums or songs without a limit of six changes per hour. It only lets you play a linear list or album. Period and once you start there is no way to stop and change. It's odd the functionality of the computer app is great But this is so unusable, it is worse than useless. It is frustrating and will make you angry. I hate it, It is getting uninstalled.",1,3,com.spotify.music,Spotify,8.8.36.522,"this is the worst app i have ever used. there is no way to stop songs once they start, there is no way to navigate to different albums or songs without a limit of six changes per hour. it only lets you play a linear list or album. period and once you start there is no way to stop and change. it's odd the functionality of the computer app is great but this is so unusable, it is worse than useless. it is frustrating and will make you angry. i hate it, it is getting uninstalled.",5,1.0004722921914357,1.0,5.002361460957179
10_10,"I used to use Spotify a while back. I just started using it again. I don't like it as much anymore. Some good features are gone. My experience is, they use to be fantastic. Straight music. There are more technical difficulties and glitches now days. Offline playlists have a hard time playing offline (so what's the point in it being offline.) I don't think I'm gonna stay premium. I look forward to some improvements. Not adding the social media touch to it either. I'm here for music not bs.",2,0,com.spotify.music,Spotify,8.8.38.444,"i used to use spotify a while back. i just started using it again. i don't like it as much anymore. some good features are gone. my experience is, they use to be fantastic. straight music. there are more technical difficulties and glitches now days. offline playlists have a hard time playing offline (so what's the point in it being offline.) i don't think i'm gonna stay premium. i look forward to some improvements. not adding the social media touch to it either. i'm here for music not bs.",4,1.0,0.08856088560885608,0.35424354243542433
