RC_ver,theme,Theme_Weight,Review_Count,Avg_Rating,Version_Total_Weight,Normalized_Signal,Prev_Signal,Delta,Is_Regression
8.8.20.544,Free vs Premium Friction,142.55759524849657,92,1.6956521739130435,873.5533661130062,0.1631927719342733,,,False
8.8.20.544,Library & Playlist Control,145.77205424447192,94,1.6914893617021276,873.5533661130062,0.16687252307561287,,,False
8.8.20.544,Navigation & Home Feed,147.19282069395,95,1.694736842105263,873.5533661130062,0.16849894511757693,,,False
8.8.20.544,Performance & Media Issues,145.77517729837245,94,1.6914893617021276,873.5533661130062,0.1668760981907938,,,False
8.8.20.544,Playback Reliability,145.0628979337652,94,1.7127659574468086,873.5533661130062,0.16606071656416618,,,False
8.8.20.544,UI & Content Surfaces,147.19282069395,95,1.694736842105263,873.5533661130062,0.16849894511757693,,,False
8.8.22.510,Free vs Premium Friction,280.1684264827535,130,1.6846153846153846,1684.740377554909,0.1662976861095752,0.1631927719342733,0.0031049141753018983,False
8.8.22.510,Library & Playlist Control,280.1684264827535,130,1.6846153846153846,1684.740377554909,0.1662976861095752,0.16687252307561287,-0.0005748369660376618,False
8.8.22.510,Navigation & Home Feed,281.74861507431194,131,1.6946564885496183,1684.740377554909,0.1672356280100666,0.16849894511757693,-0.00126331710751032,False
8.8.22.510,Performance & Media Issues,282.68743435545184,131,1.6793893129770991,1684.740377554909,0.16779287664828257,0.1668760981907938,0.0009167784574887761,False
8.8.22.510,Playback Reliability,278.2188600853263,129,1.682170542635659,1684.740377554909,0.16514049511243378,0.16606071656416618,-0.0009202214517324003,False
8.8.22.510,UI & Content Surfaces,281.74861507431194,131,1.6946564885496183,1684.740377554909,0.1672356280100666,0.16849894511757693,-0.00126331710751032,False
8.8.24.307,UI & Content Surfaces,23.523335184548316,38,1.736842105263158,141.9891157853644,0.16566998853705797,0.1672356280100666,-0.0015656394730086398,False
8.8.24.307,Playback Reliability,22.931739545670013,37,1.7297297297297298,141.9891157853644,0.16150350270744987,0.16514049511243378,-0.003636992404983913,False
8.8.24.307,Performance & Media Issues,24.243685343024712,39,1.7179487179487178,141.9891157853644,0.17074326584068808,0.16779287664828257,0.002950389192405506,False
8.8.24.307,Library & Playlist Control,24.243685343024712,39,1.7179487179487178,141.9891157853644,0.17074326584068808,0.1662976861095752,0.00444557973111287,False
8.8.24.307,Free vs Premium Friction,23.523335184548316,38,1.736842105263158,141.9891157853644,0.16566998853705797,0.1662976861095752,-0.0006276975725172385,False
8.8.24.307,Navigation & Home Feed,23.523335184548316,38,1.736842105263158,141.9891157853644,0.16566998853705797,0.1672356280100666,-0.0015656394730086398,False
8.8.26.408,UI & Content Surfaces,58.48593057246693,61,1.9344262295081966,343.53191544982195,0.1702488995698849,0.16566998853705797,0.004578911032826927,False
8.8.26.408,Free vs Premium Friction,55.458703189047,58,1.9482758620689655,343.53191544982195,0.16143682928681946,0.16566998853705797,-0.004233159250238511,False
8.8.26.408,Library & Playlist Control,57.555309307815996,60,1.9333333333333333,343.53191544982195,0.16753991905658275,0.17074326584068808,-0.003203346784105332,False
8.8.26.408,Navigation & Home Feed,58.48593057246693,61,1.9344262295081966,343.53191544982195,0.1702488995698849,0.16566998853705797,0.004578911032826927,False
8.8.26.408,Performance & Media Issues,59.253726054263055,62,1.9516129032258065,343.53191544982195,0.1724839043751612,0.17074326584068808,0.0017406385344731212,False
8.8.26.408,Playback Reliability,54.29231575376207,57,1.9649122807017543,343.53191544982195,0.15804154814166688,0.16150350270744987,-0.003461954565782993,False
8.8.26.56,Free vs Premium Friction,0.0185198955264111,1,1.0,0.1111193731584666,0.16666666666666669,0.16143682928681946,0.005229837379847224,False
8.8.26.56,Library & Playlist Control,0.0185198955264111,1,1.0,0.1111193731584666,0.16666666666666669,0.16753991905658275,-0.0008732523899160627,False
8.8.26.56,Navigation & Home Feed,0.0185198955264111,1,1.0,0.1111193731584666,0.16666666666666669,0.1702488995698849,-0.003582232903218213,False
8.8.26.56,Performance & Media Issues,0.0185198955264111,1,1.0,0.1111193731584666,0.16666666666666669,0.1724839043751612,-0.005817237708494516,False
8.8.26.56,Playback Reliability,0.0185198955264111,1,1.0,0.1111193731584666,0.16666666666666669,0.15804154814166688,0.008625118524999809,False
8.8.26.56,UI & Content Surfaces,0.0185198955264111,1,1.0,0.1111193731584666,0.16666666666666669,0.1702488995698849,-0.003582232903218213,False
8.8.28.409,Playback Reliability,115.32364098357607,93,2.5913978494623655,702.7762113452368,0.16409724620989435,0.16666666666666669,-0.002569420456772331,False
8.8.28.409,Performance & Media Issues,118.90771015550206,96,2.59375,702.7762113452368,0.16919711884938715,0.16666666666666669,0.0025304521827204662,False
8.8.28.409,UI & Content Surfaces,118.23190766542426,95,2.5789473684210527,702.7762113452368,0.16823550051460576,0.16666666666666669,0.0015688338479390718,False
8.8.28.409,Library & Playlist Control,116.75740389173413,94,2.5851063829787235,702.7762113452368,0.16613738770161274,0.16666666666666669,-0.0005292789650539476,False
8.8.28.409,Free vs Premium Friction,115.32364098357607,93,2.5913978494623655,702.7762113452368,0.16409724620989435,0.16666666666666669,-0.002569420456772331,False
8.8.28.409,Navigation & Home Feed,118.23190766542426,95,2.5789473684210527,702.7762113452368,0.16823550051460576,0.16666666666666669,0.0015688338479390718,False
8.8.32.508,Playback Reliability,10.182312918847071,27,2.259259259259259,60.27923099445099,0.16891909121707946,0.16409724620989435,0.004821845007185105,False
8.8.32.508,Performance & Media Issues,10.182312918847071,27,2.259259259259259,60.27923099445099,0.16891909121707946,0.16919711884938715,-0.00027802763230769245,False
8.8.32.508,UI & Content Surfaces,10.182312918847071,27,2.259259259259259,60.27923099445099,0.16891909121707946,0.16823550051460576,0.000683590702473702,False
8.8.32.508,Library & Playlist Control,10.182312918847071,27,2.259259259259259,60.27923099445099,0.16891909121707946,0.16613738770161274,0.0027817035154667213,False
8.8.32.508,Free vs Premium Friction,10.182312918847071,27,2.259259259259259,60.27923099445099,0.16891909121707946,0.16409724620989435,0.004821845007185105,False
8.8.32.508,Navigation & Home Feed,9.367666400215638,25,2.28,60.27923099445099,0.15540454391460268,0.16823550051460576,-0.01283095660000308,False
8.8.34.429,Free vs Premium Friction,1.2752301625661087,11,3.272727272727273,7.5283828436521105,0.16938965366796874,0.16891909121707946,0.00047056245088927806,False
8.8.34.429,Library & Playlist Control,1.2752301625661087,11,3.272727272727273,7.5283828436521105,0.16938965366796874,0.16891909121707946,0.00047056245088927806,False
8.8.34.429,Navigation & Home Feed,1.2752301625661087,11,3.272727272727273,7.5283828436521105,0.16938965366796874,0.15540454391460268,0.01398510975336606,False
8.8.34.429,Performance & Media Issues,1.2752301625661087,11,3.272727272727273,7.5283828436521105,0.16938965366796874,0.16891909121707946,0.00047056245088927806,False
8.8.34.429,Playback Reliability,1.152232030821567,10,3.3,7.5283828436521105,0.15305173166015626,0.16891909121707946,-0.0158673595569232,False
8.8.34.429,UI & Content Surfaces,1.2752301625661087,11,3.272727272727273,7.5283828436521105,0.16938965366796874,0.16891909121707946,0.00047056245088927806,False
8.8.36.521,UI & Content Surfaces,0.4826826196473548,6,2.8333333333333335,2.806461282496954,0.17198976613634387,0.16938965366796874,0.002600112468375132,False
8.8.36.521,Performance & Media Issues,0.4826826196473548,6,2.8333333333333335,2.806461282496954,0.17198976613634387,0.16938965366796874,0.002600112468375132,False
8.8.36.521,Playback Reliability,0.3930481842601798,5,3.0,2.806461282496954,0.1400511693182806,0.15305173166015626,-0.01300056234187566,False
8.8.36.521,Library & Playlist Control,0.4826826196473548,6,2.8333333333333335,2.806461282496954,0.17198976613634387,0.16938965366796874,0.002600112468375132,False
8.8.36.521,Free vs Premium Friction,0.4826826196473548,6,2.8333333333333335,2.806461282496954,0.17198976613634387,0.16938965366796874,0.002600112468375132,False
8.8.36.521,Navigation & Home Feed,0.4826826196473548,6,2.8333333333333335,2.806461282496954,0.17198976613634387,0.16938965366796874,0.002600112468375132,False
8.8.36.522,Free vs Premium Friction,938.8951511335013,264,2.4583333333333335,5668.5196788413095,0.16563321719391452,0.17198976613634387,-0.006356548942429346,False
8.8.36.522,Library & Playlist Control,942.9014483627204,265,2.456603773584906,5668.5196788413095,0.16633997970973913,0.17198976613634387,-0.0056497864266047415,False
8.8.36.522,Navigation & Home Feed,932.900661209068,263,2.467680608365019,5668.5196788413095,0.16457571183730288,0.17198976613634387,-0.00741405429904099,False
8.8.36.522,Performance & Media Issues,964.0218828715365,270,2.4444444444444446,5668.5196788413095,0.1700658968283921,0.17198976613634387,-0.00192386930795177,False
8.8.36.522,Playback Reliability,946.8990869017632,266,2.454887218045113,5668.5196788413095,0.16704521472091227,0.1400511693182806,0.026994045402631672,False
8.8.36.522,UI & Content Surfaces,942.9014483627204,265,2.456603773584906,5668.5196788413095,0.16633997970973913,0.17198976613634387,-0.0056497864266047415,False
8.8.38.444,UI & Content Surfaces,8.334050582319424,23,1.9130434782608696,49.732402613698675,0.1675778796985736,0.16633997970973913,0.0012378999888344733,False
8.8.38.444,Playback Reliability,7.885111584113321,21,1.7619047619047619,49.732402613698675,0.15855078720732035,0.16704521472091227,-0.008494427513591918,False
8.8.38.444,Performance & Media Issues,8.511088700307656,23,1.826086956521739,49.732402613698675,0.17113769399838522,0.1700658968283921,0.0010717971699931161,False
8.8.38.444,Library & Playlist Control,8.334050582319424,23,1.9130434782608696,49.732402613698675,0.1675778796985736,0.16633997970973913,0.0012378999888344733,False
8.8.38.444,Free vs Premium Friction,8.334050582319424,23,1.9130434782608696,49.732402613698675,0.1675778796985736,0.16563321719391452,0.0019446625046590782,False
8.8.38.444,Navigation & Home Feed,8.334050582319424,23,1.9130434782608696,49.732402613698675,0.1675778796985736,0.16457571183730288,0.0030021678612707214,False
8.8.40.470,Playback Reliability,745.4201936572263,230,2.243478260869565,4487.13645061671,0.16612380788080916,0.15855078720732035,0.007573020673488806,False
8.8.40.470,Free vs Premium Friction,742.8307061959159,229,2.2401746724890828,4487.13645061671,0.16554671656883124,0.1675778796985736,-0.0020311631297423582,False
8.8.40.470,Library & Playlist Control,748.8593080483702,231,2.242424242424242,4487.13645061671,0.16689024643889475,0.1675778796985736,-0.0006876332596788548,False
8.8.40.470,Navigation & Home Feed,753.1629384823445,232,2.2370689655172415,4487.13645061671,0.1678493504200948,0.1675778796985736,0.0002714707215211998,False
8.8.40.470,Performance & Media Issues,751.4431105756272,232,2.2456896551724137,4487.13645061671,0.16746607081056097,0.17113769399838522,-0.003671623187824241,False
8.8.40.470,UI & Content Surfaces,745.4201936572263,230,2.243478260869565,4487.13645061671,0.16612380788080916,0.1675778796985736,-0.0014540718177644407,False
